WA,ND,NH,TX
OR,SD,VT,OK
CA,NE,ME,AR
MT,KS,MA,LA
ID,MN,RI,MS
WY,IA,CT,AL
NV,MO,NJ,TN
UT,WI,PA,KY
CO,IL,NY,WV
AZ,IN,,DE
NM,WI,,MD
AK,MI,,DC
HI,IN,,VA
,OH,,NC
,,,SC
,,,GA
,,,FL
